date,username,text
2023-01-01,user_0,I love this product! Absolutely amazing experience.
2023-01-02,user_1,"Terrible customer service, I'm so disappointed."
2023-01-03,user_2,"Not bad, but could be better."
2023-01-04,user_3,I'm extremely happy with the results!
2023-01-05,user_4,Worst purchase ever. Never again.
2023-01-06,user_5,This is the best thing I've ever used.
2023-01-07,user_6,"Okay-ish, nothing special though."
2023-01-08,user_7,Absolutely horrible! Waste of money.
2023-01-09,user_8,Really good quality and fast delivery!
2023-01-10,user_9,Pretty average. Nothing to write home about.
